DIIs +,6.54,6.33,6.71,5.52,5.54,5.23,4.63,4.71,4.29,4.11,4.14,4.26,ICICIPRULI
Public +,8.4,7.21,6.19,6.2,6.14,6.23,6.11,5.53,5.72,5.27,5.27,5.4,ICICIPRULI
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,12.84,13.04,13.15,13.15,13.15,13.15,12.95,12.95,12.95,12.95,13.12,13.12,INFY
FIIs +,34.04,33.32,33.51,31.76,31.01,30.47,31.31,32.26,32.67,33.39,33.46,33.17,INFY
DIIs +,22.87,23.02,22.79,23.99,24.68,25.43,24.97,23.75,23.1,21.98,15.66,16.31,INFY
Public +,29.78,30.15,30.1,30.66,30.73,30.53,30.37,30.66,30.92,31.32,37.41,37.06,INFY
Others +,0.47,0.47,0.44,0.44,0.43,0.42,0.4,0.38,0.36,0.36,0.35,0.34,INFY
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,79.22,79.22,79.22,79.22,79.22,79.22,77.22,75.0,75.0,74.92,74.91,74.89,ISEC
FIIs +,1.4,1.56,2.69,2.74,3.16,3.75,3.98,4.6,3.74,5.68,6.29,6.58,ISEC
DIIs +,13.82,12.42,12.04,11.85,11.45,10.18,10.06,9.93,9.04,7.34,7.51,7.79,ISEC
Public +,5.55,6.79,6.05,6.19,6.17,6.84,8.74,10.47,12.23,12.06,11.29,10.74,ISEC
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
