Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
13-Jun-24,23480.95,23481.05,23353.9,23398.9,268279841,30151.67
14-Jun-24,23464.95,23490.4,23334.25,23465.6,223086741,25746.34
18-Jun-24,23570.8,23579.05,23499.7,23557.9,272207297,29389.75
19-Jun-24,23629.85,23664,23412.9,23516,328811255,39430.39
20-Jun-24,23586.15,23624,23442.6,23567,280336970,33390.07
21-Jun-24,23661.15,23667.1,23398.2,23501.1,609877803,70062.97
24-Jun-24,23382.3,23558.1,23350,23537.85,239358460,24862.37
25-Jun-24,23577.1,23754.15,23562.05,23721.3,298111025,34263.36
26-Jun-24,23723.1,23889.9,23670.45,23868.8,287824687,33979.62
27-Jun-24,23881.55,24087.45,23805.4,24044.5,515227010,61216.71
28-Jun-24,24085.9,24174,23985.8,24010.6,354779832,41242.87
01-Jul-24,23992.95,24164,23992.7,24141.95,242468081,28204.06
02-Jul-2024,24228.75,24236.35,24056.4,24123.85,309629240,34838.65
03-Jul-2024,24291.75,24309.15,24207.1,24286.5,289201551,36661.17
04-Jul-2024,24369.95,24401,24281,24302.15,251189844,28466.6
05-Jul-2024,24213.35,24363,24168.85,24323.85,298381204,32052.48
08-Jul-2024,24329.45,24344.6,24240.55,24320.55,266299131,26356.03
09-Jul-2024,24351,24443.6,24331.9,24433.2,250537091,29361.08
10-Jul-2024,24459.85,24461.05,24141.8,24324.45,292263786,35358.54
11-Jul-2024,24396.55,24402.65,24193.75,24315.95,306404194,32115.44
12-Jul-2024,24387.95,24592.2,24331.15,24502.15,325823474,39565.33
15-Jul-2024,24587.6,24635.05,24522.75,24586.7,305395934,31593.04
16-Jul-2024,24615.9,24661.25,24587.65,24613,283212233,28668.71
18-Jul-2024,24543.8,24837.75,24504.45,24800.85,350924425,40477.17
